Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Paced walking duration (ms)
2023-02-05,4,1647.805190343774,292.61264515712026,,,0.31269922679241124,0.34112389839450485,0.2501575156369456,545,,,,,,77087,,,
2023-02-06,161,2010.894370977687,8783.707920741688,40.0,40,0.5979172856676205,1.855561135234156,0.25834900444102243,12479,,,,,,5860414,157908,,
2023-02-07,135,1873.010301071674,7184.248475959811,40.0,40,0.6196157384570219,1.5420126160676693,0.2501575156369456,10199,,,,,,3676780,92432,,
2023-02-08,236,1921.7787382992067,11049.972777842948,37.0,37,0.5414145765380861,1.7400715720402338,0.24938566159764433,15902,,,,,,4713156,,,
2023-02-09,242,1974.3673921870657,12082.649996827991,50.0,50,0.522168979003128,2.233924295270283,0.2501575156369456,17229,,,,,,5326447,121104,,
2023-02-10,159,2020.6800732912072,9254.017263627657,53.0,53,0.6970771625688291,1.7603689571406316,0.2615283118022613,12865,,,,,,6104329,122322,,
2023-02-11,46,1791.2543327317708,2250.2258655586434,3.0,3,0.3753209509647129,1.4690910772193764,0.2940080256151043,3331,,,,,,2504642,,,
2023-02-12,3,1643.2499642372131,226.50625961308893,,,0.33824847636827904,0.4506009298895179,0.30701149646352416,386,,,,,,,,,
2023-02-13,138,1893.0990940066479,7450.207660555532,35.0,35,0.6214096059820284,1.6549698676694977,0.2501575156369456,10428,,,,,,4087803,60224,,
2023-02-14,176,2008.4306470635784,9288.047957530755,55.0,44,0.6450656185957613,2.567612230847986,0.24876575821908434,12833,,,,,,3801633,907097,,
2023-02-15,185,1939.5107501258572,9837.649079051169,55.0,51,0.4994308015185129,2.642981039412415,0.2501575156369456,13489,,,,,,3441680,645386,,
2023-02-16,130,1865.4906642592655,6789.123306223139,33.0,32,0.5572284838285574,2.566814846581884,0.2501575156369456,9700,,,,,,3212080,214706,,
2023-02-17,139,1989.6606145064293,8078.519647118041,50.0,49,0.5471309511828412,1.9645014544696522,0.2501575156369456,11410,,,,,,5544745,137103,,
2023-02-18,18,1682.927765556394,796.161348639199,2.0,2,0.3707046992287787,1.7586808083080905,0.2720693704992509,1281,,,,,,671457,,,
2023-02-19,5,1643.2499642372131,300.7032217572676,,,0.36794681426697695,1.0595005666265085,0.30701149646352416,597,,,,,,,,,
2023-02-20,132,1919.519573516951,7377.775772709623,41.0,35,0.5196732289410085,2.4604823015004014,0.27289910796757705,10455,,,,,,4393086,90214,,
2023-02-21,124,1903.0082324963578,6898.107673546681,38.0,37,0.508865859730921,1.974439672229455,0.2501575156369456,9706,,,,,,3479533,400641,,
