Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Calisthenics duration (ms)
20:45:00.000+05:30,21:00:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,2,16.908854166666668,84.59872055053711,,,0.45667993354285225,0.9304813208617752,0.3070114771525065,140,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,8,32.93035390687581,443.5190532625938,1.0,1,0.6631913443501012,1.4639161012848192,0.2728991190592448,626,,,,,280035,
21:45:00.000+05:30,22:00:00.000+05:30,1,16.908854166666668,40.55994530308003,,,0.34112386252001636,0.34112386252001636,0.34112386252001636,59,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,16.908854166666668,37.52362632751465,,,0.3243349044743537,0.34112385712391424,0.30754595182479316,55,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
